alpha	Alpha	380
anzhuang	安装	1010
banben	版本	820
beizhu	备注	640
bendi	本地	1180
biancheng	编程	1320
bianyi	编译	1020
bu	不	1380
bucuo	不错	1100
bug	BUG	700
buhui	不会	880
bushi	不是	1260
celue	策略	760
ceshi	测试	1240
changju	长句	540
changwen	长文	560
chaoshi	超时	680
chenggong	成功	1180
chengxu	程序	1080
chengxuyuan	程序员	960
chongqi	重启	760
chrome	Chrome	700
commit	提交	720
daima	代码	1460
de	的	1450
duanju	短句	520
duanluo	段落	640
edge	Edge	700
fabu	发布	880
fangfa	方法	980
fasheng	发生	850
fuwu	服务	980
fuwuqi	服务器	910
gaosu	告诉	930
gengxin	更新	960
gongcheng	工程	900
gongchengshi	工程师	980
gongju	工具	920
gongzuo	工作	1400
goujian	构建	920
hanyu	汉语	1080
hanzi	汉字	980
hao	好	980
henhao	很好	1200
houxuan	候选	760
houxuanchuang	候选窗	560
huancun	缓存	720
huida	回答	760
huifu	恢复	810
issue	Issue	420
jiancha	检查	780
jiankang	健康	760
jiaoben	脚本	810
jieguo	结果	1160
jiejue	解决	1220
jixu	继续	1120
juede	觉得	1190
juzi	句子	1120
kabao	卡爆	320
kaifa	开发	1480
kaishi	开始	1180
keyi	可以	1220
le	了	1420
liandong	联调	730
liucheng	流程	760
liulanqi	浏览器	820
meiyou	没有	1180
message	消息	880
moxing	模型	1020
ni	你	1000
ni	呢	150
nihao	你好	2200
nimen	你们	1200
nin	您	980
notepad	记事本	780
peizhi	配置	920
pinyin	拼音	1720
pinyinfangan	拼音方案	640
quxiao	取消	760
ruanjian	软件	1120
shenghuo	生活	1200
shi	是	1500
shibai	失败	840
shijie	世界	1400
shuru	输入	1200
shurufa	输入法	1650
ta	他	1100
ta	她	980
tamen	他们	960
tiaoshi	调试	980
tiwen	提问	720
tuijian	推荐	910
vscode	VS Code	760
wancheng	完成	1250
wenben	文本	1320
wendang	文档	1260
wenjian	文件	1310
wenti	问题	1380
wenzhang	文章	990
wen档	文档	0
wo	我	1200
wode	我的	1400
women	我们	1600
xiang	想	1260
xiangxin	相信	860
xiangyao	想要	920
xiezuo	写作	850
xingneng	性能	960
xiufu	修复	860
xiwang	希望	980
xuexi	学习	1320
xuyao	需要	1250
yanchi	延迟	760
yichang	异常	760
yingjian	硬件	760
yinsi	隐私	760
yinzhi	音质	100
you	有	1300
yuanyin	原因	910
yun	云	820
yunduan	云端	740
zai	在	1400
zhende	真的	1050
zhichi	支持	1110
zhidao	知道	1280
zhineng	智能	880
zhinengshuru	智能输入	820
zhishi	知识	810
zhongduan	中断	630
zhongguo	中国	1800
zhongwen	中文	1400
zhuangtai	状态	880
zhunbei	准备	720
zhushi	注释	930
